name,position,recent_team,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_2pt_conversions,target_share,air_yards_share,fantasy_points,fantasy_points_ppr,total_yards,games,pass_ypg,rush_ypg,rec_ypg,ppg,ypg,ypa,ypc,ypr,touches,ypt,comp_percentage,int_percentage,pass_td_percentage,rush_td_percentage,rec_td_percentage,total_tds,td_percentage,pr,ht,wt
Aaron Dobson,WR,NE,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21,141,0,0,0,209,29,9,0,0.445762056857348,0.528687907382846,14.1,27.1,141,6,0,0,23.5,4.52,23.5,0,0,10.85,13,10.85,0,0,0,0,0,0,0,33.87,6-3,210
Aaron Halterman,TE,MIA,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,3,4,1,0,0.0588235296308994,0.0500000007450581,0.7,1.7,7,1,0,0,7,1.7,7,0,0,7,1,7,0,0,0,0,0,0,0,33.87,0,0
Aaron Hernandez,TE,NE,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,3,47,0,0,0,3,0,45,64,563,6,0,0,452,291,27,0,2.0591642037034,1.73684947937727,97,142,610,14,0,3.36,40.21,10.14,43.57,0,15.67,12.51,48,12.71,0,0,0,0,0.133,6,0.125,33.87,6-2,245
Aaron Hernandez,TE,NE,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,5,45,0,0,0,2,0,79,113,910,7,1,1,726,507,46,0,3.04089763760567,2.61603053286672,135.5,214.5,955,14,0,3.21,65,15.32,68.21,0,9,11.52,84,11.37,0,0,0,0,0.089,7,0.083,33.87,6-2,245
Aaron Hernandez,TE,NE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,51,83,483,5,0,0,596,222,27,0,1.97117557562888,1.59208757057786,78.8,129.8,488,10,0,0.5,48.3,12.98,48.8,0,5,9.47,52,9.38,0,0,0,0,0.098,5,0.096,33.87,6-2,245
Aaron Jones,RB,GB,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,81,448,4,0,0,21,0,9,18,22,0,0,0,-5,30,2,0,0.563579648733139,-0.0220394544303417,71,80,470,10,0,44.8,2.2,8,47,0,5.53,2.44,90,5.22,0,0,0,0.049,0,4,0.044,33.87,5-9,208
Aaron Jones,RB,GB,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,133,728,8,1,1,41,0,26,35,206,1,0,0,9,221,12,0,1.06367722898722,0.0192170825321227,145.4,171.4,934,12,0,60.67,17.17,14.28,77.83,0,5.47,7.92,159,5.87,0,0,0,0.06,0.038,9,0.057,33.87,5-9,208
Aaron Jones,RB,GB,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,236,1084,16,2,1,55,0,49,68,474,3,1,1,186,437,18,0,1.99589917249978,0.604382448829711,265.8,314.8,1558,16,0,67.75,29.62,19.68,97.38,0,4.59,9.67,285,5.47,0,0,0,0.068,0.061,19,0.067,33.87,5-9,208
Aaron Jones,RB,GB,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,201,1104,9,1,0,52,0,47,63,355,2,1,0,77,365,15,0,2.06858672201634,0.200781865278259,211.9,258.9,1459,14,0,78.86,25.36,18.49,104.21,0,5.49,7.55,248,5.88,0,0,0,0.045,0.043,11,0.044,33.87,5-9,208
Aaron Jones,RB,GB,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,171,799,4,1,1,37,0,52,65,391,6,1,0,56,412,22,0,1.98252203315496,0.326476384419948,177,229,1190,15,0,53.27,26.07,15.27,79.33,0,4.67,7.52,223,5.34,0,0,0,0.023,0.115,10,0.045,33.87,5-9,208
